,Districts,Year,Deaths Male,Deaths Female,Grievous Injury Male,Grievous Injury Female,Non Grievous Injury Male,Non Grievous Injury Female,Total,Lat,Lon
0,Ampara ,2010,70,9,253,40,584,112,1068,7.29754,81.68202
1,Anuradhapura,2010,118,25,402,99,747,224,1615,8.31223,80.41306
2,Badulla (Badulla & Bandarawela Divisions),2010,64,6,154,33,300,137,694,6.9802,81.0577
3,Batticaloa ,2010,54,4,107,25,320,68,578,7.8293,81.4718
4,Chilaw (Chilaw & Puttalam Divisions),2010,100,19,198,26,377,78,798,7.57583,79.79528
5,"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",2010,235,73,985,286,2024,643,4246,6.93548,79.84868
6,Galle (Galle & Elpitiya Divisions),2010,155,28,311,91,938,290,1813,6.0461,80.2103
7,"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2010,332,71,769,157,2064,497,3890,7.0897,79.9925
8,Jaffna (Jaffna & KKS Divisions),2010,51,7,87,33,284,85,547,9.66845,80.00742
9,Kalutara (Kalutara & Panadura Divisions),2010,122,38,354,95,918,245,1772,6.5831,79.9593
10,Kandy (Kandy & Gampola Divisions),2010,94,32,261,81,877,378,1723,7.2906,80.6336
11,Kegalle (Kegalle & Seethawaka Divisions),2010,74,20,242,74,536,238,1184,7.2523,80.3436
12,Kilinochchi (Kilinochchi & Mankulam Divisions),2010,23,2,35,6,95,15,176,9.3961,80.3982
13,"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",2010,215,33,655,135,1285,306,2629,7.4839,80.3683
14,Mannar ,2010,7,2,35,8,88,21,161,8.981,79.9044
15,Matale ,2010,48,14,224,34,399,144,863,7.4698,80.6217
16,Matara ,2010,71,15,139,48,405,138,816,5.94851,80.53528
17,Monaragala ,2010,54,11,225,46,369,118,823,6.8714,81.3487
18,Mullativ ,2010,0,0,2,2,4,0,8,9.2675,80.8128
19,Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),2010,30,6,87,33,228,104,488,6.9497,6.9497
20,Polonnaruwa ,2010,67,8,207,52,394,110,838,7.9403,81.0188
21,Ratnapura ,2010,112,20,316,70,482,160,1160,6.7055,80.3848
22,Tangalle (Tangalle Division),2010,107,18,194,47,353,88,807,6.028849,80.785576
23,Trincomalee (Trincomalee & Kantale Divisions),2010,27,3,88,17,312,67,514,8.6013,81.1196
24,Vavuniya ,2010,20,7,52,11,208,59,357,8.7542,80.4982
0,Ampara ,2011,63,15,231,59,573,158,1099,7.29754,81.68202
1,Anuradhapura ,2011,102,21,311,84,575,200,1293,8.31223,80.41306
2,Badulla (Badulla & Bandarawela Divisions),2011,35,12,149,51,367,211,825,6.9802,81.0577
3,Batticaloa ,2011,45,9,183,30,507,95,869,7.8293,81.4718
4,Chilaw (Chilaw & Puttalam Divisions),2011,140,19,267,69,420,98,1013,7.57583,79.79528
5,"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",2011,234,75,1090,333,2098,662,4492,6.93548,79.84868
6,Galle (Galle & Elpitiya Divisions),2011,132,39,421,123,1033,320,2068,6.0461,80.2103
7,"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2011,328,51,866,210,2089,637,4181,7.0897,79.9925
8,Jaffna (Jaffna & KKS Divisions),2011,45,9,104,18,307,57,540,9.66845,80.00742
9,Kalutara (Kalutara & Panadura Divisions),2011,131,30,442,119,900,332,1954,6.5831,79.9593
10,Kandy (Kandy & Gampola Divisions),2011,88,28,257,84,971,422,1850,7.2906,80.6336
11,Kegalle (Kegalle & Seethawaka Divisions),2011,113,30,328,97,569,266,1403,7.2523,80.3436
12,Kilinochchi (Kilinochchi & Mankulam Divisions),2011,23,3,36,8,140,44,254,9.3961,80.3982
13,"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",2011,197,46,697,128,1302,395,2765,7.4839,80.3683
14,Mannar ,2011,15,3,38,2,62,13,133,8.981,79.9044
15,Matale ,2011,47,8,223,44,502,161,985,7.4698,80.6217
16,Matara ,2011,54,11,226,92,407,187,977,5.94851,80.53528
17,Monaragala ,2011,62,15,250,62,456,138,983,6.8714,81.3487
18,Mullativ ,2011,2,1,7,2,11,4,27,9.2675,80.8128
19,Nuwara-Eliya (Nuwara-Eliya & Hatton Divisions),2011,13,8,67,22,307,138,555,6.9497,6.9497
20,Polonnaruwa ,2011,67,14,183,42,354,91,751,7.9403,81.0188
21,Ratnapura ,2011,110,28,332,92,626,151,1339,6.7055,80.3848
22,Tangalle (Tangalle Division),2011,86,13,235,41,341,109,825,6.028849,80.785576
23,Trincomalee (Trincomalee & Kantale Divisions),2011,35,5,91,13,403,88,635,8.6013,81.1196
24,Vavuniya ,2011,15,2,52,12,166,48,295,8.7542,80.4982
0,Ampara ,2012,58,11,206,38,589,139,1041,7.29754,81.68202
1,Anuradhapura,2012,134,18,391,76,746,222,1587,8.31223,80.41306
2,Badulla (Badulla & Bandarawela Divisions),2012,51,8,141,34,323,152,709,6.9802,81.0577
3,Batticaloa ,2012,27,3,74,14,210,32,360,7.8293,81.4718
4,Chilaw (Chilaw & Puttalam Divisions),2012,102,21,291,55,447,82,998,7.57583,79.79528
5,"Colombo (Colombo-South, North, Central, Mt. Lavinia & Nugegoda Divisions)",2012,176,48,956,280,2027,675,4162,6.93548,79.84868
6,Galle (Galle & Elpitiya Divisions),2012,125,27,372,105,1008,320,1957,6.0461,80.2103
7,"Gampaha (Gampaha, Negombo & Kelaniya Divisions)",2012,275,67,850,195,1983,502,3872,7.0897,79.9925
8,Jaffna (Jaffna & KKS Divisions),2012,27,2,61,15,146,42,293,9.66845,80.00742
9,Kalutara (Kalutara & Panadura Divisions),2012,106,28,427,110,900,315,1886,6.5831,79.9593
10,Kandy (Kandy & Gampola Divisions),2012,81,23,297,99,1151,485,2136,7.2906,80.6336
11,Kegalle (Kegalle & Seethawaka Divisions),2012,90,12,354,107,499,466,1528,7.2523,80.3436
12,Kilinochchi (Kilinochchi & Mankulam Divisions),2012,59,11,146,35,242,86,579,9.3961,80.3982
13,"Kurunegala (Kurunegala, Kuliyapitiya & Nikaweratiya Divisions)",2012,158,36,636,150,1101,326,2407,7.4839,80.3683
14,Mannar ,2012,13,1,32,6,90,12,154,8.981,79.9044
15,Matale ,2012,46,1,247,54,512,236,1096,7.4698,80.6217
16,Matara ,2012,63,16,239,61,548,174,1101,5.94851,80.53528
17,Monaragala ,2012,45,3,193,46,473,152,912,6.8714,81.3487
18,Mullativ ,2012,0,0,2,2,9,0,13,9.2675,80.8128
19,Nuwara Eliya ,2012,21,3,53,10,311,137,535,6.9497,6.9497
20,Polonnaruwa ,2012,58,6,186,51,312,70,683,7.9403,81.0188
21,Ratnapura ,2012,106,28,315,83,609,219,1360,6.7055,80.3848
22,Tangalle (Tangalle Division),2012,107,18,194,47,353,88,807,6.028849,80.785576
23,Trincomalee (Trincomalee & Kantale Divisions),2012,22,4,90,13,329,63,521,8.6013,81.1196
24,Vavuniya ,2012,13,3,18,3,81,16,134,8.7542,80.4982
